Thema,,Userfrage,Usermaßname,Adminfrage,Admin,Managerfrage,Manager,Produktbeispiel,Weiterführende Links,Problembeschreibung
,,Arbeiten Sie mit ihrem privaten Computer?,"Legen Sie für geschäftliche Arbeit ein neues Benutzerkonto auf ihrem System an, das keine Administratorrechte hat.",,,,,,,"Je höher die Rechte des Benutzeraccount sind desto größer ein potentieller Schaden, der durch eine Komprommitierung entsteht."
,,Setzen Sie Antivirussoftware ein?,Installieren und aktualsiseren Sie eine Antivirenschutzlösung und prüfen Sie damit das System.,Setzen Sie Antivirussoftware ein?,Installieren und aktualsiseren Sie eine Antivirenschutzlösung und prüfen Sie damit das System.,Setzen Sie Antivirussoftware ein?,Ordnen Sie den Einsatz von Antivirusschutzlösungen an.,,https://www.bsi-fuer-buerger.de/BSIFB/DE/Empfehlungen/Schutzprogramme/Virenschutzprogramme/virenschutzprogramme_node.html,
,,Surfen Sie mit ihrem Arbeitsgerät?,"Blockieren sie schadhafte Webseiten bspw. mit den Browser Erweiterungen uBlock Origin und NoScript
",Surfen ihre Mitarbeiter  mit ihren Geräten?,"Blockieren sie schadhafte Webseiten bspw. mit den Browser Erweiterungen uBlock Origin und NoScript
Blockieren Sei Streamingdienste, um Bandbreite für Remote Arbeiter zu sparen",,,,,
Dateien,,Müssen Sie auf Dateien aus dem Firmennetzwerk zugreifen?,Verwenden Sie einen VPN-Client,Müssen Ihre Mitarbeiter auf Dateien aus dem Firmennetzwerk zugreifen?,Richten Sie einen VPN-Server ein,Müssen Ihre Mitarbeiter auf Dateien aus dem Firmennetzwerk zugreifen?,Richten Sie einen VPN-Server ein,"OpenVPN, Wireguard",https://www.bsi.bund.de/DE/Themen/StandardsKriterien/ISi-Reihe/ISi-VPN/vpn_node.html,Ein VPN Tunnel bieter sicheren Zugriff auf das Firmennetzwerk.
,,Müssen Sie Dateien mit Kollegen austauschen?,Verwenden Sie NextCloud oder verschlüsselte E-Mails.,Müssen Ihre Mitarbeiter Dateien undeinerander austauschen?,"Richten Sie einen selbstbetrieben Clouddienst (bspw. NextCloud) oder verschlüsselte E-Mail Kommunikation ein (S/MIME, PGP, Protonmail)",Müssen Ihre Mitarbeiter Dateien undeinerander austauschen?,"Richten Sie einen selbstbetrieben Clouddienst (bspw. NextCloud) oder verschlüsselte E-Mail Kommunikation ein (S/MIME, PGP, Protonmail)","Nextcloud, Protonmail",https://www.bsi.bund.de/SharedDocs/Downloads/DE/BSI/Mindeststandards/Mindeststandard_Mitnutzung_externer_Cloud-Dienste.pdf?__blob=publicationFile&v=8,Durch einen selbstbetriebenen Cloudspeicher behält man die Kontrolle wo die Daten gespeichert werden.
,,Verschicken Sie Dokumente an Personen außerhalb der Firma?,Entfernen Sie Metadaten aus den Dokumenten Dokumenten.,,,,,,https://support.office.com/de-de/article/entfernen-von-ausgeblendeten-daten-und-pers%C3%B6nlichen-informationen-durch-pr%C3%BCfen-von-dokumenten-pr%C3%A4sentationen-oder-arbeitsmappen-356b7b5d-77af-44fe-a07f-9aa4d085966f,
Kommunikation,,Müssen Sie E-Mails verschicken?,"Verwenden sie verschlüsselte Nachrichten (S/Mime, PGP) oder Protonmail
",Müssen Ihre Mitarbeiter E-Mails verschicken?,"Richten Sie einen Mailserver ein. Ermöglichen Sie verschlüsselte Kommunikation (S/MIME,PGP, Protonmail)",Müssen Ihre Mitarbeiter E-Mails verschicken?,"Richten Sie einen Mailserver ein. Ermöglichen Sie verschlüsselte Kommunikation (S/MIME,PGP, Protonmail)",Protonmail,https://www.bsi-fuer-buerger.de/BSIFB/DE/Empfehlungen/Verschluesselung/EMail_Verschluesselung/email_verschluesselung_node.html,E-Mails sind standardmäßig unverschlüsselt und daher kein sicheres Kommunikationsmittel.
,,Was tun wenn mir eine Email verdächtig vorkommt?,"Nutzen Sie wenn möglich den Phishing Button zur effektiven Meldung von Verdachtsfällen oder informieren Sie umgehend den IT Support. Grundsätzlich sollten Sie E-Mail Anhänge nie unbedarft öffnen, sondern nur wenn Sie die Quelle verifizieren können. ",Was tun wenn User oft verdächtige Emails empfangen?,Richten Sie den Mitarbeitern einen Meldebutton ein oder blockieren bzw. filtern sie Verdächtige Mails. ,,,,,
,,Müssen sie mit Kollegen telefonieren (Sprache/Video)?,"Kommunikation - Nutzung von vertrauenswürdigen Kanälen
(Video-)konferenzen
Chats
VoiP-Anlagen („Voice over IP“)",,,,,"Skype for Business
Discord
Zooom",https://www.bsi.bund.de/DE/Themen/StandardsKriterien/ISi-Reihe/ISi-VoIP/voip_node.html,
Kollaboratives Arbeiten,,Müssen Sie mit Kollegen kolloborativ zusammen arbeiten?,Verwenden Sie GoogleDocs oder von der Firma bereitgestellte Dienste (NextCloud),Müssen Ihre Mitarbeiter kolloborativ arbeiten?,Richten Sie GoogleDocs oder eine selbstbetriebene Cloudinstanz ein.,Müssen Ihre Mitarbeiter kolloborativ arbeiten?,Richten Sie GoogleDocs oder eine selbstbetriebene Cloudinstanz ein.,"GoogleDocs, NextCloud",,"Es gibt spezielle Onlinedienste, die sich auf gemeinsames Arbeiten spezialisiert haben."
Zugriffsrechte,,,,,,,,,,
,Multifaktor Authentifizierung ermöglichen ■,Gibt es eine Multifaktorauthentifizierung?,Verwenden Sie die Multifaktorauthentifizierung.,Gibt es für Ihr Unternehmen Multifaktorauthentifizierung?,Richten Sie Multifaktorauthentifizierung ein.,Gibt es für Ihr Unternehmen Multifaktorauthentifizierung?,Richten Sie Multifaktorauthentifizierung ein.,,,"Mulitfaktorauthentifizierung erhöht die Sicherheit, falls ein Authentifizierungsmerkmal eines Mitarbeiters komprommitiert wurde."
,Zugriffe stark begrenzen auf das nötigste / Seiten blocken Whitelisting etc,Besitzen Sie mehr Zugriffsrechte als Sie benötigen?,Verwenden Sie die minimalen Zugriffsrechte und melden Sie ihre zu hohen Privilegien an den Administrator.,"Gibt es Nutzer, die zu hohe Privilegien besitzen?",Beschränken Sie die Rechte auf das Notwendigste.,"Gibt es Nutzer, die zu hohe Privilegien besitzen?",Beschränken Sie die Rechte auf das Notwendigste.,,,Zu Hohe Rechte erhöhen das Risko von Missbrauch bzw. des Schadenpotentials
Zugangsdaten,,"Besitzen Sie geheime Zugangsdaten (digitale Schlüssel, Passwörter etc.)",Verwenden Sie dafür immer einen geeigneten Passwortmanager. Schreiben Sie Passwörter nicht auf und vertrauen Sie niemanden Ihr Passwort an. Nutzen Sie die Password-Policy Ihres Unternehmens und verwenden Sie komplexe Passwörter. ,,,,,,,
Firmennetzwerk,,Brauchen Sie Zugriff auf das Firmennetzwerk?,"Sicher ins Firmen-Netzwerk (VPN) 
",,,,,,,
IT Support / Service Hotline,,Wissen Sie was zutun ist im Falle eines Sicherheitsverstoßes oder Verlust?,"Zur zeitnahen Verlustmeldung wenden Sie sich umgehend an ihren Manager und/oder Ihren IT Support. Auch bei etwaigen Sicherheitsverstößen oder Schwachstellen ist es wichtig, diese zeitnah zu melden, da er Schaden sonst nur größer werden kann. Je schneller eine Schwachstelle erkannt wird, desto schneller kann mitigiert werden, ",,,,,,,
,,,,"Ermöglichen Sie schnelle Hilfe im Falle von technischen Problemen, Sicherheitsverstoßen oder Verlust?",Ermöglichen Sie den Usern einen quualitativen remote support via TeamViewer oder anderenTools. Auch im Homeoffice ist es wichtig arbeitsfähig zu bleiben ,,,,,
Diensthandy,,,,,,,,,,
Umgang mit sozialen Medien,,Wie verhalte ich mich auf den sozialen Medien?,"Bitte teilen Sie keine Fotos vom Homeoffice und Ihrer Arbeit auf den sozialen teilen (Bildschirm, Kollegen etc) ■",Möchten Sie Ihren Users Zugriff auf die sozialen Medien ermöglichen?,"Ja / Sorgen Sie für genügend Awareness (Keine Post von internen Inalten, Bildschirmen oder Kollegen); Nein / Blockiern Sie die Webseiten ",,,,,
,,Tauschen Sie sich oft über aktuelle Sicherheitsstandards aus? ,"Erstellen Sie doch ein FAQ um Security Fragen zum Thema Remote arbeiten zu dokumentieren. Diese können Sie anschließlich Kollegen zugänglich machen, um die Admin zu entlasten. ",,,Tauschen Sie sich oft über aktuelle Sicherheitsstandards mit Ihren Mitarbeitern aus? ,Bieten Sie Ihren Mitarbeitern eine Platform oder Wiki in dem sie sich zum Thema Homeoffice austauschen können. Darin können Sie auch aktuelle Mitteilungen und Bedrohungslagen posten. ,,,
,,,,,,,,,,
Netzwerke,,Ist ihr Netzwerk vor ungeschütztem Zugriff gesichert?,Setzen Sie eine Firewall ein,Verwenden Ihre Mitarbeiter eine Firewall?,Installieren Sie eine Firewall auf den Geräten ihrer Mitarbeiter oder Unterstützen Sie sie bei der Einrichtung auf den Privatgeräten.,Verwenden Ihre Mitarbeiter eine Firewall?,Fordern Sie den Einsatz einer Firewall auf den eingesetzten Geräten ihrer Mitarbeiter.,,,
,,,"Gesicherte WLAN Netze, Ethernetkabel (wenn möglich), keine Funktastaturen ■",,,,,,,
,,,"Gastnetzwerk im Router aktivieren, um von anderen Geräten getrennt zu sein",,,,,,,
,,,Standardpasswörter ändern (Passwort Manager verwenden) / Zugriff aus dem Internet einschränken,,,,,,,
